NAMESPACE      NAME                                                     READY   STATUS      RESTARTS       AGE
cert-manager   cert-manager-848847877c-wtm4j                            1/1     Running     6 (12m ago)    12d
cert-manager   cert-manager-cainjector-58b478b58c-jjs5n                 1/1     Running     6 (12m ago)    12d
cert-manager   cert-manager-webhook-7db9c94796-lftl5                    1/1     Running     6 (12m ago)    12d
cnpg-system    cnpg-cloudnative-pg-9c98cc6f-prqbh                       1/1     Running     6 (12m ago)    12d
cnpg-system    postgres-1                                               1/1     Running     6 (12m ago)    12d
crczp          adaptive-training-service-67466dfc59-nsbd6               1/1     Running     6 (12m ago)    12d
crczp          angular-frontend-6859fdf964-4g6qf                        1/1     Running     6 (12m ago)    12d
crczp          ansible-allocation-75-kdlw8                              1/1     Running     0              4m51s
crczp          answers-storage-9d6476f58-l9btt                          1/1     Running     6 (12m ago)    12d
crczp          crczp-elasticsearch-7786854fbd-qcmc5                     1/1     Running     6 (12m ago)    12d
crczp          crczp-logstash-7c7db6b8c8-5mlq5                          1/1     Running     6 (12m ago)    12d
crczp          crczp-redis-6c6d566848-jx8vx                             1/1     Running     6 (12m ago)    12d
crczp          crczp-syslog-ng-7b6846c987-cwt9c                         1/1     Running     6 (12m ago)    12d
crczp          elasticsearch-service-b9bc4f6f-kpzkp                     1/1     Running     6 (12m ago)    12d
crczp          guacamole-service-76545cf5b5-ncgb2                       1/1     Running     13 (10m ago)   12d
crczp          guacd-577949fc56-k8vs5                                   1/1     Running     6 (12m ago)    12d
crczp          keycloak-0                                               1/1     Running     4 (11m ago)    12d
crczp          keycloak-operator-67d889b588-kknvz                       1/1     Running     14 (10m ago)   12d
crczp          keycloak-realm-operator-95cf7c5bd-lctvc                  1/1     Running     6 (12m ago)    12d
crczp          mitre-service-5dcd9c579-x9s8l                            1/1     Running     6 (12m ago)    12d
crczp          sandbox-service-856677cf9b-xx7rt                         1/1     Running     2 (10m ago)    12d
crczp          sandbox-service-worker-ansible-ccc45f494-cqb96           1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-ansible-ccc45f494-cv9rf           1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-ansible-ccc45f494-rjh2m           1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-ansible-ccc45f494-v9k7d           1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-default-57d4949679-62q5q          1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-default-57d4949679-fhl8t          1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-default-57d4949679-jcnds          1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-default-57d4949679-lhrtg          1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-openstack-7f5c5976b6-9vq5s        1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-openstack-7f5c5976b6-dkbxd        1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-openstack-7f5c5976b6-n4md9        1/1     Running     1 (12m ago)    12d
crczp          sandbox-service-worker-openstack-7f5c5976b6-wvqhl        1/1     Running     1 (12m ago)    12d
crczp          smart-assistant-599887d98-9gxhp                          1/1     Running     6 (12m ago)    12d
crczp          training-feedback-service-6d4897544-bqrmb                1/1     Running     6 (12m ago)    12d
crczp          training-service-6d9c87cb77-5g9hn                        1/1     Running     6 (12m ago)    12d
crczp          uag-service-59cc54b45b-l6p7m                             1/1     Running     6 (12m ago)    12d
kube-system    coredns-697968c856-qnv7n                                 1/1     Running     6 (12m ago)    12d
kube-system    helm-install-traefik-crd-lsz4r                           0/1     Completed   0              12d
kube-system    helm-install-traefik-tgp7w                               0/1     Completed   2              12d
kube-system    local-path-provisioner-774c6665dc-j8gnj                  1/1     Running     6 (12m ago)    12d
kube-system    metrics-server-6f4c6675d5-b2wz8                          1/1     Running     6 (12m ago)    12d
kube-system    svclb-crczp-syslog-ng-lb-be81c680-8cdkl                  1/1     Running     6 (12m ago)    12d
kube-system    traefik-5v25v                                            1/1     Running     6 (12m ago)    12d
prometheus     alertmanager-prometheus-kube-prometheus-alertmanager-0   2/2     Running     12 (12m ago)   12d
prometheus     prometheus-grafana-0                                     3/3     Running     18 (12m ago)   12d
prometheus     prometheus-kube-prometheus-operator-64b9d65cdd-k59tz     1/1     Running     6 (12m ago)    12d
prometheus     prometheus-kube-state-metrics-6b88d8b6c-twjgw            1/1     Running     6 (12m ago)    12d
prometheus     prometheus-prometheus-kube-prometheus-prometheus-0       2/2     Running     12 (12m ago)   12d
prometheus     prometheus-prometheus-node-exporter-znmb8                1/1     Running     6 (12m ago)    12d
reloader       reloader-reloader-568c48f7b9-jxn2v                       1/1     Running     6 (12m ago)    12d
